,pm_id,pm_cumulative_material,pm_transporters_used,pm_total_deliveries,pm_travel_time,pm_frequency,pm_start,pm_end_delta,transporter_id,transporter_type,material_id,transporter_weight,material_weight,travel_start_delta,arrival_delta,end_unload_delta
0,0,308000,6,21,3557,555,0,33283,1,1,1,13300,13040,-3492,3492,6754
1,0,308000,6,21,3557,555,0,33283,3,3,1,15520,16880,-2317,4032,7827
2,0,308000,6,21,3557,555,0,33283,4,4,1,15260,17280,-1452,4006,8881
3,0,308000,6,21,3557,555,0,33283,5,1,1,14900,17320,-1138,3534,6604
4,0,308000,6,21,3557,555,0,33283,1,1,1,13320,13160,7246,3364,4427
5,0,308000,6,21,3557,555,0,33283,3,3,1,15460,16980,8386,3964,6790
6,0,308000,6,21,3557,555,0,33283,5,1,1,14280,18280,9711,3052,6151
7,0,308000,6,21,3557,555,0,33283,4,4,1,15220,17260,10252,3130,5905
8,0,308000,6,21,3557,555,0,33283,5,1,1,14520,18200,19243,2843,5526
9,0,308000,6,21,3557,555,0,33283,3,3,1,15600,17080,21047,4136,4749
10,0,308000,6,21,3557,555,0,33283,4,4,1,15220,17900,21936,3226,6214
11,0,308000,6,21,3557,555,0,33283,2,2,1,16560,10860,22801,3427,5461
12,0,308000,6,21,3557,555,0,33283,1,1,1,13220,13580,23559,3284,4988
13,0,308000,6,21,3557,555,0,33283,5,1,1,14480,16320,27750,3233,5533
14,1,748000,11,38,2342,3386,0,34333,5,1,2,14400,18020,-1460,1460,4949
15,1,748000,11,38,2342,3386,0,34333,3,3,2,15460,16820,-1148,1155,4878
16,1,748000,11,38,2342,3386,0,34333,6,4,2,15020,17680,-712,2247,4667
17,1,748000,11,38,2342,3386,0,34333,7,5,2,15980,24560,4660,2372,2718
18,1,748000,11,38,2342,3386,0,34333,5,1,2,14360,18140,5004,1053,2741
19,1,748000,11,38,2342,3386,0,34333,6,4,2,15000,17160,5817,1779,2587
20,1,748000,11,38,2342,3386,0,34333,3,3,2,15600,16900,5851,1079,2467
21,1,748000,11,38,2342,3386,0,34333,8,5,2,15960,25060,7067,1073,1628
22,1,748000,11,38,2342,3386,0,34333,7,5,2,15960,24820,8997,1467,6742
23,1,748000,11,38,2342,3386,0,34333,5,1,2,14360,17420,9169,1307,8100
24,1,748000,11,38,2342,3386,0,34333,3,3,2,15580,16360,9399,1380,6356
25,1,748000,11,38,2342,3386,0,34333,6,4,2,14980,17420,9877,2469,7405
26,1,748000,11,38,2342,3386,0,34333,8,5,2,15940,25240,10404,2804,9190
27,1,748000,11,38,2342,3386,0,34333,7,5,2,15940,24140,15944,2574,8309
28,1,748000,11,38,2342,3386,0,34333,5,1,2,14340,18140,18628,3045,3997
29,1,748000,11,38,2342,3386,0,34333,6,4,2,14980,17720,19063,3570,4273
30,1,748000,11,38,2342,3386,0,34333,8,5,2,15920,24240,20177,1559,6114
31,1,748000,11,38,2342,3386,0,34333,9,3,2,14680,17740,21667,2762,3117
32,1,748000,11,38,2342,3386,0,34333,5,1,2,14400,17920,24265,2608,3914
33,1,748000,11,38,2342,3386,0,34333,6,4,2,15020,17820,24899,2139,2366
34,1,748000,11,38,2342,3386,0,34333,9,3,2,14600,17540,29468,2993,4816
35,1,748000,11,38,2342,3386,0,34333,5,1,2,14280,18320,29542,3873,4791
36,2,501000,5,21,3132,369,0,30208,6,4,3,15080,17500,-1230,1230,2074
37,2,501000,5,21,3132,369,0,30208,10,5,3,15760,24660,-896,1348,2777
38,2,501000,5,21,3132,369,0,30208,8,5,3,15820,24960,-555,1271,4012
39,2,501000,5,21,3132,369,0,30208,10,5,3,15740,24800,3691,1238,5691
40,2,501000,5,21,3132,369,0,30208,8,5,3,15800,24960,5240,4783,7726
41,2,501000,5,21,3132,369,0,30208,10,5,4,15680,24680,11744,4984,5850
42,2,501000,5,21,3132,369,0,30208,8,5,4,15940,24760,11918,6694,7217
43,2,501000,5,21,3132,369,0,30208,10,5,3,15640,24800,19964,1784,2045
44,2,501000,5,21,3132,369,0,30208,8,5,3,15780,25260,21179,1599,1810
45,2,501000,5,21,3132,369,0,30208,10,5,3,15640,22140,25083,3119,4930
46,3,410000,9,25,1749,632,0,30365,2,2,5,16600,10340,-2828,2828,8435
47,3,410000,9,25,1749,632,0,30365,1,1,5,13280,12900,-2093,2380,8208
48,3,410000,9,25,1749,632,0,30365,5,1,5,14360,18680,-1706,2234,8477
49,3,410000,9,25,1749,632,0,30365,11,1,5,12400,14400,-1509,2214,9843
50,3,410000,9,25,1749,632,0,30365,3,3,5,15560,17560,-729,1745,8313
51,3,410000,9,25,1749,632,0,30365,12,5,5,16260,24940,400,1424,8532
52,3,410000,9,25,1749,632,0,30365,8,5,5,14760,26220,913,8525,9327
53,3,410000,9,25,1749,632,0,30365,1,1,5,13240,13080,7891,1797,2370
54,3,410000,9,25,1749,632,0,30365,5,1,5,14320,18240,8361,1416,3895
55,3,410000,9,25,1749,632,0,30365,3,3,5,15560,17260,9480,1330,2806
56,3,410000,9,25,1749,632,0,30365,12,5,5,16280,24400,10404,1313,4184
57,3,410000,9,25,1749,632,0,30365,11,1,5,12400,14340,10811,1431,2726
58,3,410000,9,25,1749,632,0,30365,1,1,5,13280,13460,12274,3946,8626
59,3,410000,9,25,1749,632,0,30365,5,1,5,14320,18320,13561,1670,3970
60,3,410000,9,25,1749,632,0,30365,3,3,5,15520,17180,13893,1446,6994
61,3,410000,9,25,1749,632,0,30365,2,2,5,16520,10440,15002,1498,6647
62,3,410000,9,25,1749,632,0,30365,11,1,5,12360,13980,15033,3074,9356
63,3,410000,9,25,1749,632,0,30365,12,5,5,16220,24360,16476,1507,6824
64,3,410000,9,25,1749,632,0,30365,5,1,5,14300,18620,19023,1517,7667
65,3,410000,9,25,1749,632,0,30365,1,1,5,13220,13500,23369,1392,3327
